LSOA11CD,imd_rank,imd_score,income,employment,education,health,crime,housing,living_env,idaci,idaopi,IDfetex,iMEAN1,iDEVST1,iMAJORITY1,iMEAN2,iDEVST2,iMAJORITY2,iMEAN3,iDEVST3,iMAJORITY3,iMEAN_EDG,iDEVST_EDG,iUNIFOR,iENTROP,iCONTRAS,iIDM,iCOVAR,iVARIAN,iCORRELAC,iSKEWNESS,iKURTOSIS,iRVF,iRSF,iFDO,iSDT,iMFM,iVFM,iDMF,iRMM,iSDF,iAFM,f1,f2,f3,f4
"E01006512",10518,25.61,.1,.08,10.06,1.19,-.2,24.49,68.91,.16,.31,0,83.99133,32.88763,66,85.55289,31.65046,81,77.71347,34.10677,58,10.664,8.30513,.0128681,2.132199,26.5638,.390561,51.05256,64.33446,.7935492,.6010597,.6085633,4.537022,1.483142,115.1067,9.30961,800.5306,.4068615,562.2844,1.23726,-372.3502,4809.124,1.035625,.7949964,-.3787805,.3950031
"E01006513",10339,25.91,.04,.03,20.13,.58,1.5,25.15,85.48,.21,.2,1,78.98349,39.34499,74,79.73444,38.44604,77,74.89839,37.54978,41,11.0021,9.00396,.0114012,2.190983,29.47588,.3949205,77.45554,92.19348,.8401412,.873448,.9128851,5.857384,1.504904,133.5257,11.28375,959.5134,.5093836,695.0555,1.310831,-396.8093,5632.519,1.011296,1.022961,.9198901,1.355431
"E01006514",5247,37.64,.19,.15,15.5,1.86,.74,21.85,58.9,.23,.48,2,68.106,33.75253,49,69.6281,33.08105,65,64.00817,32.80726,41,10.0168,8.66156,.0150961,2.075744,24.99973,.4194035,55.79506,68.29493,.8169723,1.022425,1.797618,5.166127,1.475361,104.8418,7.327205,759.9423,.4485696,539.3903,1.278479,-327.7626,4410.455,.0211137,.5255319,.5319693,1.211021
"E01006515",1019,58.99,.43,.3,33.51,1.9,1.16,17.4,29.78,.46,.76,3,82.33875,37.71132,90,82.1031,36.79991,89,74.24774,37.01879,82,10.1507,8.96408,.0139204,2.125166,24.73747,.4171416,72.70314,85.07188,.8546084,1.126514,2.439506,6.378946,1.530747,118.3049,10.00745,875.0216,.6303734,652.1189,1.341161,-353.5954,5180.377,1.058801,.3284375,1.220354,1.267816
"E01006518",662,63.37,.43,.34,49.9,2.24,.67,15.52,31.03,.5,.52,4,70.89652,29.50722,82,71.09399,27.8584,77,62.62011,28.0539,74,10.5661,7.93064,.0147426,2.060482,24.44258,.3824518,40.0336,52.25489,.7661216,.804593,2.64535,4.053693,1.483442,103.8348,3.729228,599.0963,.3684916,384.3139,1.309238,-199.0503,1981.674,-.393752,.5637027,.3026969,-.3757592
"E01006519",23033,10.98,.05,.08,1.76,.26,.11,11.37,26.35,.05,.08,5,68.56013,29.92187,58,73.46761,27.89692,77,58.49492,27.922,49,8.24552,7.83297,.0269687,1.91341,16.7597,.4817354,45.16446,53.54431,.8434969,1.607415,5.159462,5.937587,1.509527,76.85381,3.007743,538.6492,.4877521,387.8157,1.317548,-216.7687,3126.825,-.0845763,-1.086287,.5799621,1.106046
"E01006520",3867,42.18,.24,.21,11.41,1.6,1.34,16.58,53.38,.21,.52,6,63.77634,26.55739,58,65.6483,25.17205,69,56.87953,25.32142,49,8.98924,7.1542,.0195506,1.943081,17.65686,.4173799,33.54769,42.37612,.791665,1.04471,2.965051,4.52978,1.514324,80.08123,3.408488,527.0085,.406393,371.3066,1.237657,-246.0594,3175.819,-1.092623,-.1064993,.5294686,.9606629
"E01006521",8908,28.52,.17,.17,13.02,1.07,.56,9.97,39.68,.21,.24,7,59.45766,23.02013,58,64.08319,21.55287,73,51.76302,20.50421,49,6.17039,6.0893,.0328764,1.741161,10.15866,.5365605,26.69953,31.77886,.8401664,.8310413,2.317323,5.827857,1.529195,48.13256,3.066404,326.8451,.4824039,235.8908,1.260861,-150.6296,1984.588,-1.249545,-1.394652,1.058185,-.3536058
"E01006522",2731,47.32,.27,.23,29.18,2.22,1.07,12.49,41.95,.4,.48,8,58.75336,21.1081,49,64.62545,18.78247,69,51.50382,18.7855,49,5.61372,5.76545,.0444207,1.661638,8.746172,.5696877,22.22453,26.59761,.8355835,.9414382,2.422563,5.609558,1.530927,42.18141,2.619031,279.7165,.4509726,200.2679,1.231376,-135.5481,1718.379,-1.313872,-1.83486,.7952501,-.3036382
"E01006523",5351,37.32,.25,.2,9.09,1.65,.68,14.61,42.39,.29,.39,9,66.60817,26.51115,66,66.74083,24.918,73,58.93304,24.57577,49,9.4,6.83422,.0166985,1.975275,17.49857,.4010784,33.37777,42.12706,.792312,.5562705,.8113043,4.441748,1.511088,80.883,2.456042,483.028,.4512967,324.7715,1.334432,-163.2314,1387.88,-.9609347,.2273826,1.059144,-1.304152
"E01006524",24024,10.15,.05,.03,6.4,.57,-.3,19.78,22.26,.09,.17,10,59.13877,26.24813,58,62.36973,24.9288,57,53.27346,24.46901,49,7.72796,6.55511,.0245762,1.868708,15.25755,.4625329,33.81161,41.44038,.8159096,1.367792,4.244646,5.083408,1.535858,72.63361,6.513772,501.0116,.5197371,365.4651,1.275538,-227.4175,3058.447,-1.539115,-.6510795,1.465114,1.427953
"E01006525",23149,10.87,.06,.08,4.05,.21,-.27,13.06,25.97,.05,.07,11,67.28185,25.6672,58,73.01723,23.57277,77,59.02348,23.09379,49,7.41156,7.37262,.0298409,1.848024,14.65657,.5145336,32.10876,39.43705,.8141776,.993297,2.608863,5.048734,1.487852,63.6942,2.715175,417.0988,.3462482,286.5383,1.231755,-189.8734,2479.388,-.2196399,-1.075785,-.2757727,-.1078091
"E01006526",14735,19.38,.11,.12,5.34,.87,.25,7.09,33.07,.07,.22,12,58.88979,22.50221,58,64.76452,20.73348,73,51.31806,20.06171,49,6.00575,6.62621,.0488743,1.680116,11.16015,.5720154,24.74274,30.32281,.8159776,1.376823,4.615933,5.176377,1.505312,49.43046,3.367412,328.6196,.3978851,230.7979,1.227703,-155.9703,1995.339,-1.13099,-1.921685,.3204717,.7040773
"E01006527",15258,18.77,.15,.12,7.42,.9,-.79,9.36,24.41,.16,.26,13,67.50238,27.16689,58,71.74034,24.60423,69,59.56269,25.19461,49,8.43749,7.46812,.0224982,1.928621,16.74172,.4668511,35.83181,44.20267,.8106254,.8654574,2.02844,4.884884,1.514962,77.82902,3.356875,493.5035,.3610991,342.3681,1.224531,-231.5614,2994.382,-.4775594,-.4352245,.131957,.3331657
"E01006528",9881,26.71,.16,.14,13.85,1.02,.15,13.67,48.56,.21,.26,14,63.02925,21.94165,58,72.50211,19.99098,77,54.60658,19.54335,49,5.59039,5.88054,.0487861,1.658852,8.801229,.5758227,24.29142,28.69204,.8466259,1.127139,2.870291,6.044325,1.552193,44.06249,3.210186,294.5294,.6405478,214.7339,1.322776,-119.6669,1384.738,-.9475085,-2.080008,1.455849,-.7688917
"E01006529",19679,13.95,.09,.09,3.93,.56,-.83,3.67,38.73,.06,.19,15,72.87724,31.90607,82,70.19568,30.3431,81,63.98451,28.97046,41,12.7993,8.18272,.0104223,2.156514,29.10925,.333976,46.22542,60.78004,.7605361,.4199267,-.1380894,3.807594,1.517711,138.441,2.501468,820.5568,.4589994,553.1467,1.370793,-248.8904,2313.39,-.6801297,1.807963,1.29723,-.6126257
"E01006530",22517,11.41,.09,.09,7.05,.3,-.56,5.06,15.98,.12,.11,16,72.31121,30.45531,58,71.01705,28.04708,61,63.1293,28.11865,49,11.3697,7.79311,.0124826,2.106046,26.98488,.3569827,41.70099,55.19343,.7555426,.6852234,.7993464,3.906005,1.500191,118.775,3.303799,740.4582,.3153358,502.9991,1.193142,-359.9857,4469.998,-.5310768,1.191252,-.168691,1.276723
"E01006531",22878,11.12,.1,.08,5.97,.4,-.99,8.2,15.88,.07,.15,17,63.06804,24.7408,58,67.98113,22.70314,73,54.37897,22.91521,49,8.00448,7.39537,.0283339,1.85951,16.97358,.4776526,28.09144,36.57823,.7679825,1.028146,2.557085,4.120105,1.485849,72.17655,2.57249,442.8957,.3245623,294.3383,1.236923,-189.4062,1859.487,-.9063976,-.5468837,-.0491713,.0659608
"E01006532",25698,8.8,.04,.07,1.73,.05,-.2,20.91,16.5,.03,.09,18,64.49023,22.47561,66,69.69096,20.29867,77,56.97211,19.57204,58,6.33394,6.00176,.0334058,1.748916,10.43726,.527208,24.98495,30.20358,.8272182,.8483834,2.424877,5.356444,1.527072,49.71634,2.296766,323.4104,.4181549,229.0849,1.241571,-150.9584,1959.181,-.8605492,-1.453382,.4524781,-.5251278
"E01006533",9666,27.11,.17,.17,15.45,1.1,.03,21.09,21.14,.13,.25,19,59.54855,21.51986,58,65.70042,20.59886,73,52.06909,19.70982,49,5.79472,6.20527,.0455778,1.671017,9.967135,.5659453,22.7486,27.73217,.8202965,1.104247,3.74125,5.194253,1.513514,45.79752,2.300729,303.6076,.4140105,214.4232,1.250879,-138.2542,1826.711,-1.135752,-1.855697,.484136,.008918
"E01006534",9213,27.93,.18,.18,21.87,1.23,-.07,12.33,21.52,.18,.26,20,82.14056,32.84562,74,80.74386,28.38126,81,71.21413,27.38843,66,10.3759,7.66973,.0137348,2.097364,22.25481,.3848283,52.92545,64.05286,.8262777,.8137291,.6880443,5.348641,1.512962,103.4765,5.538215,641.1139,.3887657,439.3904,1.231868,-290.7364,2801.705,.5945879,.2963824,-.0025511,-.2121334
"E01006535",7155,32.4,.2,.18,23.78,1.63,.27,10.87,27.62,.17,.3,21,60.86507,20.59908,58,66.56059,19.21318,73,52.65889,17.9033,49,5.24425,5.19929,.0447147,1.634288,7.64377,.5662959,21.56244,25.38433,.8494392,.931044,3.15269,6.172644,1.515497,35.3841,2.100048,245.0258,.4805127,176.3851,1.301256,-102.5696,1453.21,-1.054823,-2.12844,.8871587,-.9967574
"E01006536",4616,39.61,.26,.24,36.4,1.55,-.17,11.29,27.4,.33,.31,22,83.53908,36.68277,74,82.59352,32.61024,77,72.1889,32.49366,58,8.96223,8.26262,.0161485,2.072676,20.54513,.453165,69.62645,79.89901,.8714306,.9334867,.8083209,7.305061,1.483055,88.99527,.4257098,592.1092,.3597233,407.8749,1.282324,-240.7083,3412.791,1.822879,-.598593,-.5332,-.7526633
"E01006537",11456,23.95,.16,.12,20.35,.61,-.24,12.41,51.6,.28,.13,23,82.94391,38.51482,66,84.72319,36.88214,77,76.72245,38.30087,58,9.12353,8.00569,.0161442,2.090687,22.02698,.4415486,77.19788,88.21137,.8751466,1.277201,2.121371,7.485431,1.505453,100.1096,8.546086,718.8893,.5099277,520.8303,1.320504,-290.4237,4226.258,1.75825,-.4698685,.515265,.2753615
"E01006538",13612,20.82,.14,.13,19.75,.81,-.6,3.33,29.84,.15,.19,24,82.14799,39.96918,58,82.02009,38.60798,69,74.15018,38.68605,49,11.9286,9.70118,.0111816,2.210434,32.03739,.3731185,79.28638,95.30508,.8319219,1.169204,1.846589,5.506108,1.519982,150.8414,8.513271,970.7861,.3904564,680.6967,1.266219,-422.2551,5782.829,1.146877,1.102603,.3064456,2.269332
"E01006539",21200,12.51,.07,.1,2.72,.41,-.16,14.98,20.4,.06,.09,25,66.74763,24.94177,66,70.73555,23.10478,77,58.9769,22.74014,58,6.51888,6.36827,.0332817,1.771291,11.57359,.5217598,31.29859,37.08538,.8439602,1.627496,6.620511,5.897322,1.532769,56.19965,3.643971,384.7366,.5032628,279.2506,1.279438,-171.7405,2322.337,-.6424448,-1.887292,.6902399,.9924759
"E01006540",48,78.55,.48,.41,62.28,3.02,1.48,18.1,51.82,.49,.5,26,70.41695,27.68493,82,70.65086,26.46407,73,62.90814,26.62876,66,10.4711,8.02025,.0157742,2.029386,22.33144,.3926837,34.83399,45.99971,.7572654,.5721368,1.211835,3.826463,1.442917,88.72787,1.722937,571.3208,.3326436,370.9948,1.262775,-220.8658,1942.452,-.2001335,.5377285,-.467216,-.8800402
"E01006541",2615,47.93,.27,.25,38.22,1.47,1.67,13.31,38.1,.33,.31,27,61.20966,20.60707,58,68.16652,17.88744,69,52.65875,18.36217,49,5.75437,5.48388,.0418678,1.667007,8.663358,.5437754,21.04568,25.37736,.8293093,.9152238,2.623763,5.557049,1.464267,35.48022,1.240193,244.3702,.3573832,167.9481,1.245135,-108.0443,1430.088,-.7311283,-1.934061,-.1710499,-1.150088
"E01006542",1167,57.46,.31,.29,39.29,1.59,1.82,12.55,58.04,.43,.29,28,66.85867,34.19594,41,75.50926,29.07691,69,61.47876,31.85229,41,6.64986,7.91543,.0488943,1.798557,13.39162,.5704288,62.7769,69.47271,.9036196,1.476173,2.571853,9.552346,1.519985,63.66101,6.173209,470.5415,.5929204,348.1129,1.280078,-216.3248,2876.456,.7963601,-2.105112,.9919162,.3451835
"E01006543",10457,25.71,.13,.12,25.18,.68,1,6.89,40.19,.16,.19,29,70.89104,28.23782,66,69.98083,26.35221,73,60.68605,26.26006,58,11.4224,7.9024,.0134856,2.074979,25.07882,.3599764,35.28842,47.82783,.7378219,.5611183,.9383805,3.543367,1.491231,110.5576,-2.046578,617.6641,.297965,392.6018,1.269614,-226.0707,2404.316,-.6113857,1.002891,-.1718056,-.3798115
"E01006544",632,63.7,.39,.33,51.95,2.16,1.26,12.43,35.47,.45,.41,30,69.74606,27.88849,82,68.70087,26.21846,81,60.875,25.71772,58,11.1521,7.42388,.013159,2.062334,23.22734,.3598819,34.96103,46.5747,.7506443,.3674689,-.0300945,3.738434,1.472688,98.36142,1.992133,586.0707,.387407,377.9812,1.336452,-180.7964,1887.855,-.6721497,1.015477,.4707723,-1.528238
"E01006545",3829,42.33,.24,.22,36.14,1.43,.77,6.16,58.92,.31,.22,31,75.12583,29.73532,82,71.93044,28.76596,85,67.36054,27.13539,74,10.8994,7.08779,.0124987,2.073608,21.26612,.3626293,42.1699,52.80297,.7986276,.1545249,-.4690167,4.527952,1.549332,107.2572,15.42146,682.7627,.7846724,487.5124,1.475255,-163.0258,1574.336,-.9597064,1.250395,3.264439,-2.254077
"E01006546",747,62.12,.37,.28,47.41,1.62,1.71,8.82,66.9,.53,.27,32,73.85205,31.62337,82,70.96044,30.37512,81,66.02473,29.01294,74,11.7741,8.07996,.0115353,2.122732,25.9529,.3542449,47.09208,60.06853,.7839726,.4024353,.6096239,4.228265,1.509792,120.5669,16.72933,781.7095,.6804419,545.2073,1.417454,-218.8792,1779.048,-.7917114,1.543716,2.555206,-1.184821
"E01006547",50,78.44,.43,.4,59.31,2.48,1.8,11.38,71.78,.54,.39,33,71.10674,29.29635,74,69.22194,28.12804,73,63.12381,27.5213,66,11.3388,8.03405,.0134766,2.076419,24.65167,.362069,39.28156,51.60739,.7611614,.6021398,1.44959,3.966848,1.454611,98.35768,3.351847,613.6478,.4026175,397.2921,1.329217,-195.269,1986.985,-.3399262,.8684169,.2529442,-1.032339
"E01006548",404,67.34,.39,.31,43.96,2.3,1.34,13.09,66.5,.47,.37,34,72.61066,26.50865,82,70.22224,25.07196,77,63.32496,24.38493,66,11.105,7.71406,.0150614,2.032804,22.96534,.368588,30.47191,41.95458,.7263071,.4236021,1.005036,3.436502,1.457859,93.62294,-.3154,544.5894,.3533538,340.1095,1.345738,-151.8241,1165.482,-.448429,.796278,-.0544888,-1.886557
"E01006549",2903,46.38,.25,.23,10.16,1.8,.85,27.21,64.79,.29,.39,35,60.3235,22.33387,58,64.52628,21.70404,73,53.67905,20.79066,49,7.85954,6.42213,.0284401,1.831208,15.09441,.4614314,22.71159,30.25879,.750578,.4672092,1.316903,3.840965,1.4592,59.62487,2.3826,394.0386,.3167622,264.1935,1.216384,-178.9298,1907.1,-1.176692,-.3481157,-.1938788,-.8025118
"E01006550",14077,20.18,.11,.07,3.27,1.23,.14,12.89,49.13,.4,.37,36,72.00784,35.53919,82,70.80936,34.73733,81,66.04542,33.61845,41,11.1806,8.08813,.0121215,2.107291,24.9217,.3676722,63.86899,76.32984,.83675,1.453051,4.919456,5.704982,1.500942,110.8783,5.61582,779.4014,.6714357,558.0618,1.435321,-218.7723,2910.88,.0121613,.3618873,1.818562,.5897954
"E01006551",4819,38.93,.27,.21,24.63,1.83,.21,22.79,23.87,.4,.45,37,58.99243,22.87862,58,64.49126,22.06604,73,52.89053,21.70481,49,5.65978,5.72173,.0393303,1.68663,9.573302,.5560256,26.506,31.29265,.8470359,1.548888,6.109524,6.150242,1.508684,43.19828,3.360111,320.7098,.5743709,235.7881,1.34405,-125.448,1877.936,-1.111551,-2.136838,1.236547,.2868591
"E01006552",1432,55.26,.4,.25,46.04,1.26,1.04,27.75,46.15,.45,.53,38,66.98524,27.09468,66,68.61108,25.70124,73,60.64399,25.42066,58,10.9403,7.71521,.014516,2.048601,24.73504,.3720228,31.81774,44.18526,.7200985,.4570981,.4962086,3.381984,1.439266,95.33046,-1.550229,568.5616,.2868277,351.5395,1.269506,-198.3089,1546.168,-.5255814,.9013084,-.5542601,-1.227856
"E01006553",14677,19.47,.11,.07,9.75,.72,.14,9.68,55.1,.21,.3,39,65.27866,27.25204,49,66.9753,25.5773,73,58.80138,25.40315,49,9.35509,7.97907,.0195134,1.969583,19.94021,.4410718,34.47939,44.44949,.7756981,.6480356,.7120127,4.174685,1.479699,85.31465,.0476682,485.1398,.344383,307.2894,1.319044,-152.5087,1576.342,-.5743647,.1512222,.2445544,-1.201638
"E01006554",10277,26.02,.13,.13,2.21,1.23,.16,15.27,59.07,.06,.29,40,63.48218,26.75837,58,65.18437,25.29485,73,58.85232,24.7465,49,10.5243,7.31066,.0154876,2.023341,24.10288,.3803549,30.94512,42.99656,.7197115,.6386973,.6480007,3.471996,1.428459,88.3615,1.440477,555.8373,.2448985,349.6064,1.221742,-226.3537,2193.333,-.7754397,.7755931,-.6564007,-.5175346
"E01006556",178,72.58,.45,.31,70.15,2.3,1.33,19.81,52.19,.51,.6,41,68.75498,25.64591,58,72.93477,23.79965,73,61.28648,24.24404,49,9.1981,7.63888,.0235788,1.936532,19.33426,.4345708,29.78715,39.45428,.754979,.695658,1.589595,3.798771,1.445732,77.20399,3.187187,480.9565,.3780474,307.7493,1.345634,-141.5147,1536.513,-.286359,-.0425066,-.0568066,-1.622766
"E01006557",14804,19.27,.09,.05,15.88,.76,.21,14.34,56.86,.3,.27,42,75.54002,34.46971,66,76.87682,34.26524,81,70.42055,34.71115,49,9.80142,7.63879,.0126696,2.092514,20.002,.40728,61.11031,71.11131,.8593613,.6665402,.6834168,6.631691,1.528027,94.5894,7.08047,614.1303,.6429304,434.9928,1.416494,-179.211,1752.251,.5372974,.1301672,1.878075,-1.689534
"E01006558",90,75.78,.46,.41,51.16,2.83,1.17,14.89,65.23,.58,.38,43,74.74854,31.40781,90,72.89698,29.89342,85,66.81276,29.08924,82,11.9077,8.0525,.0112878,2.146501,28.70243,.350127,44.67758,59.02879,.7568777,.451704,.5455903,3.841416,1.480035,123.2716,13.75246,694.9464,.3962295,438.1496,1.323034,-213.6581,1926.962,-.378658,1.453879,.9752503,-1.047682
"E01006560",248,70.7,.45,.44,56.06,2.61,1.12,20.32,17.59,.38,.55,44,69.98109,29.72002,82,72.88623,27.53541,73,63.67709,28.56157,49,8.96042,7.74802,.0185021,1.999196,19.92849,.4447814,42.94222,52.90646,.811663,.9053009,2.021639,5.040598,1.485162,85.01,2.826344,574.0278,.378489,398.8078,1.253191,-253.4695,3381.097,.0353417,-.1723676,-.0823642,.2556177
"E01006562",121,74.57,.44,.39,74.21,2.24,1.36,15.68,40.74,.49,.41,45,72.42393,29.1792,74,71.8928,27.59392,77,64.19216,26.83031,58,11.8959,8.84268,.0135221,2.102471,28.49415,.368047,37.05747,51.30455,.7223039,.334425,.413681,3.346602,1.440025,111.9511,13.70933,652.4594,.3792768,398.0394,1.393489,-141.3038,1028.837,-.4394191,1.468369,.8246167,-2.136908
"E01006563",44,78.84,.53,.43,64.57,2.73,1.8,19.02,30.82,.65,.52,46,82.80752,32.17962,82,82.03351,31.11451,81,73.53719,32.23525,74,10.8053,8.66634,.0164698,2.076911,24.17402,.3898435,49.70784,61.79485,.804401,.9582891,2.178591,4.828797,1.435329,93.33828,-5.137091,611.7971,.257803,397.3884,1.261319,-237.5142,3360.277,1.554004,-.0581195,-1.758538,-.5262424
"E01006564",3292,44.55,.3,.26,42.52,1.68,.35,15.88,17.95,.36,.35,47,75.23747,27.34319,74,77.3297,25.49524,73,66.22781,26.52167,66,10.4117,8.39423,.0182008,2.01985,23.85065,.4107402,32.88764,44.81297,.7338867,.6359485,2.04348,3.584346,1.447804,93.37782,.7423235,579.7328,.2247321,371.2091,1.159085,-278.9822,3404.26,.2470131,.3463877,-1.6287,.2222464
"E01006565",3478,43.74,.25,.22,34.06,1.56,1.26,8.73,45.05,.26,.34,48,74.16321,27.02501,82,73.69332,25.08171,81,65.03264,25.31773,66,10.4926,7.70607,.0161196,2.025535,22.35138,.38557,32.36734,43.54303,.7433414,.5617952,1.386683,3.623672,1.484102,97.56804,.5456582,530.5975,.3007998,329.0533,1.271749,-184.8642,1753.119,-.2626416,.5019662,-.3598168,-1.058479
"E01006566",10511,25.62,.15,.14,13.67,1.08,.41,9.13,39.55,.18,.24,49,69.56816,27.71872,58,69.59793,25.54626,69,60.52442,25.13524,49,11.0684,7.89116,.0146122,2.055277,24.18089,.3669448,34.00538,46.09582,.7377107,.6520531,1.154,3.554686,1.456396,98.64481,4.980765,585.8928,.3417812,369.7543,1.301327,-193.2091,1917.189,-.6345903,.8841491,.1065783,-.898097
"E01006567",3039,45.68,.29,.27,38.97,1.72,.35,15.47,28.6,.3,.35,50,73.85548,32.59505,49,76.79496,29.72855,69,66.30416,31.21018,49,8.95324,8.14209,.0194671,2.013423,19.94593,.456504,53.27298,63.24594,.8423145,1.146423,2.262302,5.953194,1.495429,88.44324,4.9779,598.7499,.4007635,420.2315,1.244517,-273.827,3598.764,.5816826,-.4364106,-.0296103,.5986333
"E01006568",7879,30.75,.2,.17,17.83,1.31,-.05,27.97,25.29,.19,.31,51,66.35947,28.85593,58,68.28277,26.38517,69,57.90659,26.96876,49,8.88633,7.72225,.0212749,1.955218,18.32244,.4465719,40.66086,49.82207,.8161213,1.237002,3.257015,5.06385,1.496334,81.62684,.639557,533.236,.362365,368.7763,1.249392,-235.7917,3163.814,-.4227367,-.4446964,.0388792,.903812
"E01006569",1522,54.64,.31,.28,44.35,1.69,1.4,14.78,46.42,.34,.4,52,74.9551,31.97607,74,74.28625,29.37129,73,65.18514,30.38108,49,11.0819,8.44622,.0138813,2.110241,26.1725,.381165,47.92603,61.01228,.7855145,.9201164,1.730965,4.380911,1.481379,112.2928,2.941602,707.5602,.2929415,474.2867,1.202227,-331.1988,4243.954,.1568084,.6989819,-.5827758,1.153679
"E01006570",13018,21.57,.12,.15,13.29,.84,-.16,9.6,33.6,.14,.14,53,77.43569,37.13448,49,78.23358,34.13384,69,68.2393,35.37625,49,10.2819,8.55016,.0146543,2.123568,23.50157,.4111591,70.49311,82.2439,.8571227,1.106049,1.680849,6.581291,1.499049,104.5973,3.523296,723.3578,.4429008,513.7647,1.300289,-296.5486,4201.129,1.047372,.0702681,.3045861,.5708101
"E01006571",1301,56.32,.33,.3,48.95,1.72,1.3,9.98,45.48,.36,.42,54,67.3968,28.73635,49,69.86826,26.38201,65,59.53014,27.50599,41,7.98931,7.12083,.0234075,1.903465,15.85688,.470173,41.4118,49.34024,.8393109,1.57548,5.82339,5.839365,1.500635,70.78301,3.734626,491.1093,.4463614,349.7228,1.268617,-217.8025,2947.705,-.3049712,-1.14384,.3537494,1.244687
"E01006572",513,65.33,.46,.34,68.29,1.98,.66,10.11,19.8,.62,.42,55,70.44356,29.29432,82,68.88047,27.37291,81,61.87473,27.19733,74,11.0978,7.7054,.013764,2.065205,23.67018,.3633051,39.37132,51.20641,.7688748,.8229411,1.794722,4.124201,1.473359,98.50278,-3.461117,624.2184,.2905904,416.1254,1.231271,-271.7616,3572.744,-.3081829,.6111659,-.6335465,.4895716
"E01006573",2528,48.41,.34,.26,27.28,1.53,.47,8.95,55.78,.41,.41,56,75.49849,28.89321,82,73.96913,27.28659,77,67.01408,26.97374,74,11.1193,8.07984,.0147569,2.069911,24.64849,.3706008,37.67519,49.99943,.7535123,.384822,1.027912,3.786926,1.47742,105.2743,7.324294,622.3775,.4201903,401.871,1.338271,-191.3389,1390.676,-.2485548,.95541,.5451135,-1.537178
"E01006574",1665,53.49,.37,.31,37.55,1.8,.72,7.1,29.79,.36,.54,57,65.35522,26.83405,49,66.50565,24.52734,65,56.82293,24.84871,41,9.94276,7.40706,.0168469,1.989473,20.30334,.3986409,33.0045,43.15617,.764769,.6902455,1.211279,4.044446,1.503141,89.59295,-.4320773,556.4133,.3211104,378.346,1.247935,-240.3917,3245.333,-.9700224,.4301665,.0986954,.2713608
"E01006575",6760,33.39,.2,.18,26.4,1.13,.72,15.24,36.75,.25,.24,58,68.88847,26.85891,58,72.18739,24.17264,73,62.09502,24.69528,49,9.64944,7.76601,.0193516,1.984277,22.00884,.4224468,32.22792,43.23233,.7454586,.9242142,2.700519,3.788826,1.453443,86.34753,1.406645,534.1881,.2306716,343.7615,1.189782,-242.3821,3116.042,-.258692,.053271,-1.107607,.4223943
"E01006576",16809,16.94,.09,.09,11.36,.29,.22,10.22,42.6,.13,.13,59,72.9357,27.34832,74,73.17513,25.20445,77,64.36965,25.02532,58,10.4988,7.28805,.014819,2.040565,22.74478,.3768399,33.25479,44.62718,.7451689,.5524944,.7531991,3.681438,1.474035,96.27386,2.213043,590.3976,.2554341,387.3029,1.199197,-269.6973,3477.647,-.3203914,.6606944,-.7303171,-.0437764
"E01006577",19826,13.81,.07,.1,5.92,0,.29,7.11,35.16,.05,.11,60,70.39966,25.07807,66,73.9013,22.72133,77,62.72034,22.93731,58,9.21498,7.64797,.0242671,1.935358,20.11749,.4382602,27.70206,37.76081,.7336194,.6810214,2.018836,3.531574,1.444178,79.06892,-1.60796,476.5675,.1986182,298.5557,1.163781,-220.5031,2729.962,-.088333,-.1530499,-1.634496,-.2298853
"E01006578",17639,15.99,.09,.1,11.46,.51,-.47,7.76,36.55,.11,.15,61,66.24055,26.8133,58,68.34621,24.75679,69,59.12698,24.89257,49,10.7499,7.60826,.0148676,2.02648,22.97977,.3702307,31.73252,43.2224,.7341684,.628476,1.14316,3.470892,1.470863,97.49934,-4.122418,563.8414,.2051847,356.7761,1.175982,-257.5505,3283.204,-.6691884,.6817186,-1.036141,.3564931
"E01006579",22488,11.43,.08,.08,6.31,-.01,-.27,8.29,32.16,.08,.12,62,69.77502,28.11013,66,70.98618,25.8763,73,61.50071,26.28711,58,11.3725,7.91463,.0139715,2.076919,26.20883,.3603526,34.33609,47.4405,.7237716,.6270406,1.161745,3.429301,1.470153,108.3373,-2.075437,644.8477,.2260613,414.4178,1.17333,-302.6464,3787.115,-.4789588,.9925868,-1.052591,.701968
"E01006580",22708,11.25,.07,.08,3.9,.54,.01,8.65,13.65,.1,.11,63,63.44495,23.73989,49,69.93868,21.04886,69,56.74585,22.07484,49,7.57682,6.86378,.0310425,1.821413,14.05118,.4965031,26.60431,33.62991,.791091,.9007167,1.874609,4.47402,1.523288,65.92557,.7335113,386.3888,.2928408,260.4056,1.204614,-181.3449,2327.031,-.8653228,-.8783371,-.0904837,.0473331
"E01006581",25651,8.84,.07,.07,3.27,-.19,-.29,3.72,25.89,.05,.13,64,69.82646,27.33816,58,71.68863,25.19956,73,63.0249,25.19094,58,11.1828,7.6297,.014199,2.051086,24.71112,.3610882,32.26966,44.62522,.7231261,.6857584,1.101786,3.379401,1.45807,101.2934,-2.8447,599.8797,.2432676,378.7489,1.211691,-251.7597,2403.005,-.3904828,.8075829,-.9903933,-.2190882
