LSOA11CD,imd_rank,imd_score,income,employment,education,health,crime,housing,living_env,idaci,idaopi,IDfetex,iMEAN1,iDEVST1,iMAJORITY1,iMEAN2,iDEVST2,iMAJORITY2,iMEAN3,iDEVST3,iMAJORITY3,iMEAN_EDG,iDEVST_EDG,iUNIFOR,iENTROP,iCONTRAS,iIDM,iCOVAR,iVARIAN,iCORRELAC,iSKEWNESS,iKURTOSIS,iRVF,iRSF,iFDO,iSDT,iMFM,iVFM,iDMF,iRMM,iSDF,iAFM,f1,f2,f3,f4
"E01006785",4334,40.63,.25,.21,23.12,1.21,.68,16.46,65.32,.38,.26,253,67.29603,28.62826,58,71.59827,26.30871,73,59.79998,27.65008,49,8.44887,8.13087,.0278836,1.913988,18.36355,.4765803,39.73283,48.9146,.8122897,1.316509,3.248055,5.00002,1.442777,72.58737,-1.94002,476.3875,.2689523,312.4509,1.231308,-202.2585,2698.008,.2904835,-.9000958,-1.071836,.2997078
"E01006786",8352,29.75,.14,.17,20.38,1.11,1.01,5.46,36.96,.15,.15,254,72.77621,33.58994,58,73.08556,32.40754,69,65.3576,32.81005,49,10.6272,8.95776,.0140571,2.104748,28.00598,.4041711,53.36595,67.36893,.7921447,1.097275,2.397711,4.6692,1.46534,112.4437,3.326124,742.09,.3123361,500.4521,1.224418,-333.914,4325.638,.3715353,.570976,-.5400409,1.424103
"E01006787",1624,53.82,.27,.29,46.88,1.91,.81,22.05,55.41,.33,.31,255,66.91075,32.49713,49,68.59353,30.38035,61,59.83736,31.09637,41,9.4257,8.32764,.0179382,2.029142,22.51374,.4332711,51.77211,63.02898,.8214017,1.239435,2.63739,5.42491,1.463012,90.12508,5.671302,620.6721,.4151683,426.0224,1.279371,-252.6243,2559.275,-.0382814,-.0366796,.3523137,.5160862
"E01006788",7461,31.64,.22,.17,22.13,1.02,.17,10.22,48.32,.34,.19,256,75.52468,30.07924,74,73.37394,27.78616,77,66.11259,26.96287,74,11.6666,8.31252,.0122153,2.116605,26.57663,.3627742,40.89047,54.17879,.7547322,.308616,.1200664,3.890769,1.454183,105.6238,10.30687,674.7606,.4724462,442.2027,1.404241,-169.4367,1451.418,-.200497,1.297447,.969384,-2.155989
"E01006790",408,67.27,.43,.35,38.97,2.3,1.51,13.67,40.42,.54,.49,257,72.93982,28.15906,74,72.28766,26.87674,81,64.05473,26.99183,58,8.89885,7.48699,.0191812,1.980553,18.92052,.4398326,38.00377,47.46403,.8006856,.7405013,2.107772,4.752855,1.467193,77.95616,6.913032,541.5304,.3679647,374.6698,1.213428,-259.0923,3293.473,-.0271255,-.1503097,-.27959,.0734223
"E01006791",798,61.45,.41,.36,46.33,2.03,.69,11.24,29.63,.48,.46,258,81.18009,32.48374,82,80.13627,31.16423,81,72.90833,32.22465,66,10.8235,8.85035,.0155422,2.096135,26.08922,.3938313,49.83947,62.88408,.792561,1.003239,2.462348,4.665561,1.458348,103.6505,2.868036,686.643,.3020113,460.504,1.213191,-314.118,4062.537,1.030059,.2991286,-1.168457,.6683421
"E01006792",25260,9.15,.06,.08,1.67,-.05,-.69,19.4,16.88,.07,.06,259,64.00892,25.93914,58,66.94644,24.49808,73,56.57652,24.43183,49,8.13141,6.94121,.0245679,1.885262,15.7224,.4577332,32.44727,40.30847,.804974,1.26525,4.171178,4.738606,1.519824,73.68353,3.381456,466.5316,.3694982,324.7847,1.241157,-212.2772,2806.123,-.9749817,-.7122378,.4128034,1.033248
"E01006793",10560,25.53,.19,.18,12.27,.84,-.38,16.42,25.14,.19,.23,260,66.14433,28.3431,58,67.60619,26.63542,73,58.15696,26.51977,49,9.97824,7.57438,.0156133,2.022562,21.19689,.3960605,37.69659,48.29503,.780548,.7269585,1.221176,4.213055,1.53124,101.2806,4.085218,626.0494,.3621486,435.4,1.208393,-304.9355,3840.294,-1.048375,.6172689,.516516,1.157388
"E01006794",19118,14.51,.09,.1,9.43,.17,-.15,9.51,31.05,.11,.11,261,63.71743,26.9397,49,66.27828,24.90485,73,57.32197,24.91575,49,8.90969,7.12677,.0198781,1.946835,17.57698,.4291501,34.64564,43.43413,.7976593,.9230918,1.701031,4.59477,1.526272,83.14252,2.706984,527.8032,.3861122,369.8192,1.229774,-248.5436,3195.715,-1.055484,-.0415357,.5632584,.7293203
"E01006795",21872,11.94,.07,.09,5.69,.4,-.44,3.28,24.43,.08,.1,262,68.37875,28.71321,58,69.09602,26.56058,73,60.65119,26.44694,49,10.6769,7.88693,.01489,2.044553,23.26994,.3786304,37.5727,49.20768,.7635537,.8663089,1.596862,3.865299,1.487996,104.0428,-.1147101,639.2057,.2809708,426.0015,1.185989,-307.1161,3820.023,-.5838092,.6521044,-.5199435,1.114823
