LSOA11CD,imd_rank,imd_score,income,employment,education,health,crime,housing,living_env,idaci,idaopi,IDfetex,iMEAN1,iDEVST1,iMAJORITY1,iMEAN2,iDEVST2,iMAJORITY2,iMEAN3,iDEVST3,iMAJORITY3,iMEAN_EDG,iDEVST_EDG,iUNIFOR,iENTROP,iCONTRAS,iIDM,iCOVAR,iVARIAN,iCORRELAC,iSKEWNESS,iKURTOSIS,iRVF,iRSF,iFDO,iSDT,iMFM,iVFM,iDMF,iRMM,iSDF,iAFM
E01006685,19898,13.730000000000000,0.090000000000000,0.100000000000000,4.210000000000000,0.480000000000000,-0.470000000000000,4.940000000000000,30.699999999999999,0.120000000000000,0.090000000000000,160,73.40934300000,29.72245800000,66,73.28779500000,26.99441700000,73,63.43377200000,27.10099100000,58,10.90590000000,7.79214000000,0.01440563100,2.07286240000,23.43994000000,0.37136506000,40.96770100000,52.68767100000,0.77755763000,0.84989579000,1.69173620000,4.13876530000,1.51446830000,109.77974000000,3.04845430000,691.75368000000,0.35300278000,478.36885000000,1.20078410000,-339.47573000000,4240.67590000000
E01006686,20142,13.510000000000000,0.080000000000000,0.100000000000000,9.300000000000001,0.570000000000000,-0.850000000000000,5.100000000000000,23.920000000000002,0.080000000000000,0.130000000000000,161,75.98759300000,28.26193800000,74,74.37990300000,25.71269900000,73,64.51234500000,25.92533900000,58,11.96400000000,8.24180000000,0.01378721300,2.08565290000,26.72353700000,0.35032765000,34.23538300000,47.59715100000,0.71927378000,0.72223523000,1.42375360000,3.33100440000,1.46080340000,110.48528000000,-3.28489450000,665.67924000000,0.22420295000,425.91259000000,1.19451050000,-296.43096000000,3783.44140000000
E01006687,13901,20.420000000000002,0.140000000000000,0.130000000000000,6.280000000000000,0.860000000000000,0.070000000000000,21.500000000000000,14.619999999999999,0.110000000000000,0.220000000000000,162,72.71869700000,39.97298900000,58,74.52148900000,36.57977700000,73,62.84892500000,35.89659200000,49,8.86198000000,7.75016000000,0.01638840600,2.05893470000,18.30445400000,0.44339483000,86.49429200000,95.64651900000,0.90431197000,1.56718410000,3.23198150000,9.67307210000,1.53165240000,87.82879700000,4.68189610000,635.90365000000,0.59975547000,470.70400000000,1.38778520000,-224.10994000000,3670.99000000000
E01006688,13167,21.399999999999999,0.140000000000000,0.140000000000000,10.170000000000000,0.770000000000000,-0.530000000000000,8.039999999999999,39.130000000000003,0.130000000000000,0.200000000000000,163,74.79132700000,30.23181200000,74,73.05661600000,28.06753100000,77,65.02761200000,27.88815400000,58,11.40230000000,8.34336000000,0.01277552800,2.10612920000,25.82119300000,0.36682567000,41.73405600000,54.64465300000,0.76373541000,0.58799819000,0.89905154000,3.97189480000,1.48658690000,111.93898000000,3.29203660000,733.61718000000,0.34359489000,503.56784000000,1.18577370000,-367.28110000000,4476.91500000000
E01006689,21851,11.960000000000001,0.090000000000000,0.090000000000000,2.340000000000000,0.220000000000000,-0.710000000000000,12.710000000000001,28.199999999999999,0.090000000000000,0.190000000000000,164,74.60396400000,28.17869600000,58,79.63647200000,24.92940700000,81,66.20430900000,25.41604100000,58,8.02324000000,7.98714000000,0.03147009600,1.88766800000,16.80279700000,0.51129674000,38.89625800000,47.29765700000,0.82237178000,1.03415930000,1.74482490000,5.23583350000,1.46323210000,70.21543100000,-1.23532720000,457.30581000000,0.29705393000,305.72858000000,1.21664560000,-206.65529000000,2659.13710000000
E01006690,920,60.149999999999999,0.350000000000000,0.310000000000000,52.630000000000003,1.630000000000000,1.030000000000000,14.850000000000000,59.430000000000000,0.410000000000000,0.420000000000000,165,79.85686700000,40.93174300000,58,83.10333900000,38.59248500000,73,71.97217500000,40.36911500000,49,9.13464000000,8.72880000000,0.01796912700,2.08155480000,23.16929200000,0.45697819000,88.74706900000,100.33171000000,0.88453655000,1.59011920000,3.29692540000,8.19516690000,1.48614920000,99.40233900000,7.94571800000,748.77376000000,0.53581049000,544.30497000000,1.35426080000,-279.04377000000,4302.14210000000
E01006691,282,69.579999999999998,0.440000000000000,0.310000000000000,55.729999999999997,1.970000000000000,1.160000000000000,13.970000000000001,66.920000000000002,0.490000000000000,0.400000000000000,166,76.19689500000,30.71010200000,66,79.01091500000,28.73842800000,77,69.28466900000,28.89859800000,49,9.81930000000,8.12806000000,0.01611688900,2.06266850000,24.94644500000,0.43504732000,43.73360200000,56.20682400000,0.77808348000,0.63474857000,0.90302945000,4.28168480000,1.48112440000,105.97295000000,5.36529360000,616.36268000000,0.40696374000,396.10166000000,1.32449720000,-196.09371000000,1386.76490000000
E01006692,1118,58.000000000000000,0.380000000000000,0.300000000000000,42.000000000000000,1.880000000000000,0.420000000000000,16.739999999999998,55.899999999999999,0.460000000000000,0.400000000000000,167,82.11157000000,40.68349100000,74,82.75490500000,39.91008100000,77,73.73318100000,40.72768000000,58,9.81555000000,8.50185000000,0.01495834500,2.12445180000,25.17120500000,0.42006178000,86.77319500000,99.35879800000,0.87333177000,1.54150320000,3.48452620000,7.41418570000,1.49460870000,110.39538000000,9.37820910000,783.51994000000,0.46397851000,560.32255000000,1.31696970000,-311.97046000000,4612.78900000000
E01006693,333,68.730000000000004,0.390000000000000,0.370000000000000,48.180000000000000,2.600000000000000,1.450000000000000,16.719999999999999,43.039999999999999,0.390000000000000,0.450000000000000,168,75.41992800000,29.29205900000,66,77.38115300000,27.71792300000,77,67.41748100000,28.75015400000,58,9.26559000000,8.02524000000,0.02137608400,1.96411520000,19.33709400000,0.43502316000,41.50318600000,51.17173300000,0.81105688000,1.52144160000,5.28055360000,4.92859930000,1.50020300000,87.08111100000,1.81229800000,564.02050000000,0.35991526000,389.92894000000,1.23654090000,-256.51501000000,3347.86070000000
E01006694,913,60.229999999999997,0.390000000000000,0.270000000000000,46.909999999999997,1.570000000000000,1.040000000000000,14.369999999999999,70.379999999999995,0.500000000000000,0.360000000000000,169,80.23413400000,29.75964100000,82,78.00441500000,28.74913300000,81,71.97866800000,27.79371000000,74,10.80830000000,7.50610000000,0.01410076400,2.08155870000,23.80668600000,0.36998417000,40.89316800000,52.79651100000,0.77454300000,0.62831522000,1.48111250000,4.14911440000,1.44862170000,95.77265900000,0.65156797000,558.85052000000,0.30647239000,345.36854000000,1.30053870000,-177.41232000000,1787.46740000000
